pathway,recall,d,p
BIOCARTA_GRANULOCYTES_PATHWAY,0,0,14
BIOCARTA_LYM_PATHWAY,0,0,12
BIOCARTA_LAIR_PATHWAY,0,0,17
BIOCARTA_MONOCYTE_PATHWAY,0,0,10
BIOCARTA_SARS_PATHWAY,0,0,7
BIOCARTA_LYMPHOCYTE_PATHWAY,0,0,8
BIOCARTA_AMAN_PATHWAY,0,0,15
BIOCARTA_NEUTROPHIL_PATHWAY,0,0,7
BIOCARTA_GHRELIN_PATHWAY,0,0,13
BIOCARTA_ACETAMINOPHEN_PATHWAY,0,0,5
BIOCARTA_DSP_PATHWAY,0,0,9
BIOCARTA_S1P_PATHWAY,0,0,8
BIOCARTA_MALATEX_PATHWAY,0,0,8
BIOCARTA_NPP1_PATHWAY,0,0,10
BIOCARTA_CPSF_PATHWAY,0,0,10
BIOCARTA_RHODOPSIN_PATHWAY,0,0,10
BIOCARTA_RNAPOL3_PATHWAY,0,0,7
BIOCARTA_EOSINOPHILS_PATHWAY,0,0,9
BIOCARTA_REELIN_PATHWAY,0,0,7
BIOCARTA_LDL_PATHWAY,0,0,6
BIOCARTA_CB1R_PATHWAY,0,0,7
BIOCARTA_SUMO_PATHWAY,0,0,6
BIOCARTA_MSP_PATHWAY,0,0,6
BIOCARTA_SLRP_PATHWAY,0,0,6
BIOCARTA_ALTERNATIVE_PATHWAY,0,0,9
BIOCARTA_FOSB_PATHWAY,0,0,5
BIOCARTA_MRP_PATHWAY,0,0,6
BIOCARTA_PLCD_PATHWAY,0,0,5
BIOCARTA_WNT_LRP6_PATHWAY,0,0,6
BIOCARTA_PEPI_PATHWAY,0,0,8
BIOCARTA_BOTULIN_PATHWAY,0,0,5
KEGG_OTHER_GLYCAN_DEGRADATION,0,0,16
KEGG_O_GLYCAN_BIOSYNTHESIS,0,0,30
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0,0,21
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0,0,15
KEGG_GLYCEROLIPID_METABOLISM,0,0,49
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0,0,25
KEGG_ARACHIDONIC_ACID_METABOLISM,0,0,58
KEGG_LINOLEIC_ACID_METABOLISM,0,0,29
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0,0,19
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0,0,25
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0,0,14
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0,0,15
KEGG_RIBOFLAVIN_METABOLISM,0,0,15
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0,0,16
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0,0,22
KEGG_NON_HOMOLOGOUS_END_JOINING,0,0,13
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0,0,37
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0,0,17
